hotel_type,booking_status,advance_booking_days,arrival_year,arrival_month,arrival_week,arrival_day,weekend_nights,weekday_nights,num_adults,num_children,num_infants,meal_plan,guest_country,booking_segment,booking_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room,assigned_room,modifications,deposit_type,travel_agent_id,corporate_id,waiting_days,customer_category,avg_daily_rate,parking_spaces,special_requests,reservation_status,reservation_date,total_stay_nights,booking_season,family_booking,total_guests,is_long_stay
Urban Hotel,0,377,2016,October,42,14,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,Not Applicable,0,Regular-Party,115.0,0,1,Checked-Out,16-10-2016,2,Autumn,0,2.0,0
Luxury Resort,0,139,2015,July,28,8,2,6,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,Not Applicable,0,Regular,107.2,0,1,Checked-Out,16-07-2015,8,Summer,1,3.0,1
Urban Hotel,0,67,2016,April,16,11,1,4,2,0.0,0,SB,ITA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,Not Applicable,0,Regular,107.1,0,1,Checked-Out,16-04-2016,5,Spring,0,2.0,0
Luxury Resort,0,3,2016,December,52,18,1,0,2,0.0,0,SB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,Not Applicable,0,Regular,69.0,1,1,Checked-Out,19-12-2016,1,Winter,0,2.0,0
Urban Hotel,0,1,2017,June,26,28,0,1,2,2.0,0,SB,PRT,Complementary,TA/TO,0,0,0,E,E,0,No Deposit,83.0,Not Applicable,0,Regular,100.44,0,1,Checked-Out,29-06-2017,1,Summer,1,4.0,0
Luxury Resort,0,0,2016,November,48,25,0,1,2,0.0,0,SB,CHN,Direct,Direct,0,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular,43.0,0,0,Checked-Out,26-11-2016,1,Autumn,0,2.0,0
Luxury Resort,0,277,2015,October,41,6,2,5,2,0.0,0,HB,GBR,Group Bookings,Direct,0,0,0,D,D,0,No Deposit,273.0,Not Applicable,0,Regular-Party,68.74,0,0,Checked-Out,13-10-2015,7,Autumn,0,2.0,1
Luxury Resort,1,238,2016,September,37,7,0,3,1,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,D,D,0,Non Refund,1.0,Not Applicable,0,Regular,89.0,0,0,Cancelled,09-02-2016,3,Autumn,0,1.0,0
Luxury Resort,1,98,2016,May,22,23,1,4,2,0.0,0,SB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular,73.0,0,0,Cancelled,04-03-2016,5,Spring,0,2.0,0
Urban Hotel,0,0,2015,November,49,30,1,2,0,0.0,0,SC,PRT,Corporate,Corporate,1,0,1,A,A,2,No Deposit,,40.0,0,Regular,6.0,0,0,Checked-Out,03-12-2015,3,Autumn,0,0.0,0
Urban Hotel,1,131,2017,March,9,2,0,1,2,0.0,0,SC,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,79.2,0,2,Cancelled,16-02-2017,1,Spring,0,2.0,0
Urban Hotel,0,90,2017,April,15,10,1,2,2,2.0,0,SB,ESP,Direct,Direct,0,0,0,G,G,0,No Deposit,,Not Applicable,0,Regular,216.0,0,0,Checked-Out,13-04-2017,3,Spring,1,4.0,0
Urban Hotel,0,104,2017,June,22,2,1,2,2,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,Not Applicable,0,Regular,144.0,0,0,Checked-Out,05-06-2017,3,Summer,0,2.0,0
Luxury Resort,0,21,2016,November,49,28,1,1,1,0.0,0,SB,POL,Group Bookings,TA/TO,0,0,0,E,E,0,No Deposit,,Not Applicable,0,Regular,45.0,0,0,Checked-Out,30-11-2016,2,Autumn,0,1.0,0
Luxury Resort,1,119,2016,May,19,7,2,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,Not Applicable,0,Regular,118.0,0,1,Cancelled,11-01-2016,4,Spring,0,2.0,0
Urban Hotel,0,273,2016,October,45,31,1,2,2,0.0,0,SB,BEL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,Not Applicable,0,Regular,90.3,0,1,Checked-Out,03-11-2016,3,Autumn,0,2.0,0
Luxury Resort,0,3,2015,October,43,18,1,0,2,0.0,0,SB,GBR,Group Bookings,Corporate,0,0,0,A,E,0,No Deposit,,Not Applicable,0,Regular,76.0,0,0,Checked-Out,19-10-2015,1,Autumn,0,2.0,0
Urban Hotel,0,161,2016,October,45,31,1,3,2,0.0,0,SC,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,168.0,Not Applicable,0,Regular,59.5,0,0,Checked-Out,04-11-2016,4,Autumn,0,2.0,0
Luxury Resort,0,312,2016,May,22,27,2,5,2,0.0,0,SB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,Not Applicable,0,Corporate Contract,62.48,0,1,Checked-Out,03-06-2016,7,Spring,0,2.0,1
Luxury Resort,0,12,2015,August,32,2,2,5,2,0.0,1,SB,GBR,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,241.0,Not Applicable,0,Regular,172.63,0,2,Checked-Out,09-08-2015,7,Summer,1,3.0,1
Urban Hotel,1,270,2017,June,25,21,2,4,2,0.0,0,SB,NLD,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,Not Applicable,0,Regular,105.0,0,0,Cancelled,02-02-2017,6,Summer,0,2.0,0
Urban Hotel,1,76,2016,September,39,18,2,0,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,Not Applicable,0,Regular,102.68,0,0,Cancelled,06-07-2016,2,Autumn,0,2.0,0
Urban Hotel,0,17,2017,February,9,26,2,1,1,0.0,0,SB,CHN,Group Bookings,TA/TO,0,0,0,D,D,0,No Deposit,30.0,Not Applicable,0,Regular-Party,75.0,0,0,Checked-Out,01-03-2017,3,Winter,0,1.0,0
Urban Hotel,0,151,2016,July,31,29,2,3,3,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,103.84,0,2,Checked-Out,03-08-2016,5,Summer,0,3.0,0
Urban Hotel,0,0,2016,April,17,22,0,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,119.0,0,0,Checked-Out,24-04-2016,2,Spring,0,2.0,0
Urban Hotel,1,27,2016,June,27,26,2,1,2,0.0,0,SB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,152.67,0,0,Cancelled,31-05-2016,3,Summer,0,2.0,0
Luxury Resort,1,95,2017,April,14,8,2,3,3,1.0,0,SB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,Not Applicable,0,Regular,150.0,0,0,Cancelled,19-01-2017,5,Spring,1,4.0,0
Urban Hotel,1,10,2016,December,49,1,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,90.33,0,0,Cancelled,24-11-2016,3,Winter,0,2.0,0
Luxury Resort,0,62,2016,October,44,23,1,0,2,0.0,0,SB,DEU,Online TA,TA/TO,0,0,0,A,E,1,No Deposit,240.0,Not Applicable,0,Regular,49.0,0,1,Checked-Out,24-10-2016,1,Autumn,0,2.0,0
Urban Hotel,0,75,2015,September,38,19,2,2,1,0.0,0,SB,ESP,Group Bookings,TA/TO,0,0,0,A,A,1,No Deposit,1.0,Not Applicable,0,Regular-Party,60.0,0,0,Checked-Out,23-09-2015,4,Autumn,0,1.0,0
Urban Hotel,0,11,2015,September,40,30,0,1,2,0.0,0,SB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,126.0,0,1,Checked-Out,01-10-2015,1,Autumn,0,2.0,0
Urban Hotel,1,275,2016,June,23,4,1,1,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,5.0,Not Applicable,69,Regular,62.8,0,0,Cancelled,11-11-2015,2,Summer,0,2.0,0
Urban Hotel,0,36,2016,February,9,22,1,2,2,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,82.7,0,1,Checked-Out,25-02-2016,3,Winter,0,2.0,0
Urban Hotel,1,63,2016,March,14,28,1,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,80.1,0,0,Cancelled,04-03-2016,2,Spring,0,2.0,0
Luxury Resort,0,8,2017,March,10,8,0,1,1,0.0,0,SB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,380.0,0,Regular,35.0,0,0,Checked-Out,09-03-2017,1,Spring,0,1.0,0
Luxury Resort,0,0,2016,March,12,16,0,2,1,0.0,0,SB,Unknown,Complementary,Direct,0,0,0,A,E,1,No Deposit,,Not Applicable,0,Regular,79.49,0,0,Checked-Out,18-03-2016,2,Spring,0,1.0,0
Urban Hotel,1,212,2017,May,19,8,2,5,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,111.34,0,0,Cancelled,08-10-2016,7,Spring,0,2.0,1
Urban Hotel,0,42,2015,November,47,16,1,4,2,0.0,0,SB,IRL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,Not Applicable,0,Corporate Contract,104.42,0,1,Checked-Out,21-11-2015,5,Autumn,0,2.0,0
Luxury Resort,1,72,2016,February,6,6,2,1,2,0.0,0,HB,PRT,Group Bookings,Direct,0,0,0,D,D,0,No Deposit,,Not Applicable,0,Regular-Party,73.33,0,0,Cancelled,19-01-2016,3,Winter,0,2.0,0
Luxury Resort,1,41,2015,November,46,12,1,3,1,0.0,0,SB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,281.0,0,Regular-Party,36.0,0,0,Cancelled,09-11-2015,4,Autumn,0,1.0,0
Luxury Resort,0,84,2017,April,16,18,1,5,1,0.0,0,SB,ITA,Direct,Direct,0,0,0,E,E,1,No Deposit,,Not Applicable,0,Regular-Party,74.6,0,0,Checked-Out,24-04-2017,6,Spring,0,1.0,0
Urban Hotel,0,29,2016,March,10,5,2,1,1,0.0,0,SB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,Not Applicable,0,Regular-Party,86.0,0,1,Checked-Out,08-03-2016,3,Spring,0,1.0,0
Luxury Resort,0,120,2015,August,32,4,2,5,2,0.0,0,SB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,Not Applicable,0,Regular-Party,90.95,0,1,Checked-Out,11-08-2015,7,Summer,0,2.0,1
Urban Hotel,1,186,2017,May,22,30,0,2,2,0.0,0,SB,Unknown,Group Bookings,TA/TO,0,0,0,A,A,0,Non Refund,19.0,Not Applicable,0,Regular,130.0,0,0,Cancelled,25-11-2016,2,Spring,0,2.0,0
Urban Hotel,0,53,2016,October,42,10,1,3,3,0.0,0,SB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,151.2,0,2,Checked-Out,14-10-2016,4,Autumn,0,3.0,0
Urban Hotel,0,18,2016,November,46,11,2,3,2,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,93.84,0,1,Checked-Out,16-11-2016,5,Autumn,0,2.0,0
Urban Hotel,1,40,2015,October,43,19,1,2,1,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,Not Applicable,0,Corporate Contract,75.6,0,0,Cancelled,14-10-2015,3,Autumn,0,1.0,0
Urban Hotel,0,192,2017,April,18,30,2,0,2,0.0,0,SB,BEL,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,9.0,Not Applicable,0,Regular,117.0,0,0,Checked-Out,02-05-2017,2,Spring,0,2.0,0
Luxury Resort,0,0,2016,March,11,10,2,4,1,0.0,0,SB,NLD,Direct,Direct,0,0,0,E,E,0,No Deposit,,Not Applicable,0,Regular,70.0,0,0,Checked-Out,16-03-2016,6,Spring,0,1.0,0
Luxury Resort,0,0,2015,October,44,28,0,1,1,0.0,0,SB,Unknown,Direct,Direct,0,0,0,A,D,0,No Deposit,,Not Applicable,0,Regular,40.0,0,0,Checked-Out,29-10-2015,1,Autumn,0,1.0,0
Luxury Resort,1,265,2015,September,39,24,1,3,2,0.0,0,HB,BEL,Group Bookings,Corporate,0,14,0,A,A,0,Non Refund,183.0,Not Applicable,0,Regular,89.2,0,0,Cancelled,02-04-2015,4,Autumn,0,2.0,0
Luxury Resort,0,0,2016,April,16,14,0,1,2,0.0,0,SB,FRA,Direct,TA/TO,1,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular,75.0,0,1,Checked-Out,15-04-2016,1,Spring,0,2.0,0
Urban Hotel,1,461,2016,October,42,13,0,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,Non Refund,1.0,Not Applicable,0,Regular,103.84,0,0,Cancelled,21-10-2015,2,Autumn,0,2.0,0
Urban Hotel,0,50,2016,June,26,22,0,1,2,0.0,0,SB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,Not Applicable,0,Regular,76.92,0,1,Checked-Out,23-06-2016,1,Summer,0,2.0,0
Urban Hotel,1,124,2015,August,32,8,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,Not Applicable,0,Regular-Party,94.5,0,0,Cancelled,01-08-2015,3,Summer,0,2.0,0
Urban Hotel,0,144,2016,June,27,27,1,2,2,0.0,0,SB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular-Party,96.3,0,1,Checked-Out,30-06-2016,3,Summer,0,2.0,0
Luxury Resort,0,138,2016,October,44,26,0,4,2,0.0,0,SB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular,68.0,0,4,Checked-Out,30-10-2016,4,Autumn,0,2.0,0
Urban Hotel,0,254,2016,September,38,16,0,2,1,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,Not Applicable,0,Regular-Party,91.0,0,0,Checked-Out,18-09-2016,2,Autumn,0,1.0,0
Luxury Resort,0,36,2015,November,47,20,0,2,2,0.0,0,FB,ESP,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,38.0,Not Applicable,0,Regular-Party,64.0,0,0,Checked-Out,22-11-2015,2,Autumn,0,2.0,0
Urban Hotel,1,45,2017,January,1,4,0,2,1,0.0,0,SB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,93.6,0,0,Cancelled,27-11-2016,2,Winter,0,1.0,0
Luxury Resort,1,275,2015,October,41,4,2,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,26,0,A,A,0,Non Refund,208.0,Not Applicable,0,Regular,50.0,0,0,Cancelled,30-01-2015,2,Autumn,0,2.0,0
Urban Hotel,0,99,2017,July,29,18,0,5,2,0.0,0,SB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,394.0,Not Applicable,0,Regular,80.1,0,0,Checked-Out,23-07-2017,5,Summer,0,2.0,0
Urban Hotel,0,5,2015,September,38,19,2,3,2,0.0,0,SB,ESP,Direct,Direct,0,0,0,A,D,0,No Deposit,14.0,Not Applicable,0,Regular,117.8,0,0,Checked-Out,24-09-2015,5,Autumn,0,2.0,0
Urban Hotel,0,7,2017,March,10,7,0,1,1,0.0,0,SB,GBR,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,435.0,0,Regular,80.0,0,0,Checked-Out,08-03-2017,1,Spring,0,1.0,0
Urban Hotel,1,132,2016,July,32,31,2,5,3,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,140.27,0,0,Cancelled,31-03-2016,7,Summer,0,3.0,1
Luxury Resort,0,7,2017,March,9,2,1,3,1,0.0,0,SB,GBR,Group Bookings,Corporate,0,0,0,A,A,1,No Deposit,,223.0,0,Regular-Party,29.0,0,0,Checked-Out,06-03-2017,4,Spring,0,1.0,0
Urban Hotel,0,20,2016,January,4,17,1,0,3,0.0,0,SC,FRA,Direct,Direct,0,0,0,A,D,0,No Deposit,14.0,Not Applicable,0,Regular,104.0,0,0,Checked-Out,18-01-2016,1,Winter,0,3.0,0
Luxury Resort,1,215,2016,September,39,19,1,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,112.0,0,1,Cancelled,24-02-2016,3,Autumn,0,2.0,0
Urban Hotel,0,181,2016,May,22,23,1,2,2,0.0,0,SB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Corporate Contract,118.0,0,2,Checked-Out,26-05-2016,3,Spring,0,2.0,0
Urban Hotel,1,0,2017,February,5,1,0,1,1,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,94.0,Not Applicable,0,Group Booking,45.0,0,0,Cancelled,01-02-2017,1,Winter,0,1.0,0
Luxury Resort,0,52,2016,April,15,7,1,3,2,0.0,0,SB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,Not Applicable,0,Regular,74.7,0,0,Checked-Out,11-04-2016,4,Spring,0,2.0,0
Luxury Resort,1,36,2017,June,24,16,2,2,2,2.0,0,SB,BRA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,Not Applicable,0,Regular,256.5,0,0,Cancelled,11-05-2017,4,Summer,1,4.0,0
Urban Hotel,0,74,2015,September,38,18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,Not Applicable,0,Regular-Party,109.0,0,0,Checked-Out,20-09-2015,2,Autumn,0,2.0,0
Urban Hotel,0,101,2016,May,19,5,0,3,2,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular-Party,126.9,0,1,Checked-Out,08-05-2016,3,Spring,0,2.0,0
Urban Hotel,1,87,2017,April,15,15,2,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,Non Refund,1.0,Not Applicable,0,Regular,100.0,0,0,Cancelled,18-01-2017,4,Spring,0,2.0,0
Urban Hotel,0,102,2016,July,30,23,2,5,2,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,114.3,1,1,Checked-Out,30-07-2016,7,Summer,0,2.0,1
Urban Hotel,0,31,2017,June,26,27,0,1,1,0.0,0,SB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,99.0,0,3,Checked-Out,28-06-2017,1,Summer,0,1.0,0
Luxury Resort,0,386,2016,October,43,20,1,3,3,0.0,0,SB,GBR,Group Bookings,Corporate,0,0,0,A,A,3,No Deposit,,Not Applicable,0,Regular-Party,79.0,0,1,Checked-Out,24-10-2016,4,Autumn,0,3.0,0
Luxury Resort,0,202,2017,May,18,4,0,1,2,0.0,0,SB,BRA,Group Bookings,TA/TO,0,0,0,D,D,0,No Deposit,251.0,Not Applicable,0,Regular-Party,62.0,0,1,Checked-Out,05-05-2017,1,Spring,0,2.0,0
Urban Hotel,1,100,2015,October,44,31,1,1,2,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,1.0,Not Applicable,0,Regular-Party,62.0,0,0,Cancelled,19-10-2015,2,Autumn,0,2.0,0
Urban Hotel,1,153,2017,June,25,21,0,4,1,0.0,0,SB,PRT,Corporate,TA/TO,0,0,0,A,A,0,Non Refund,,348.0,0,Regular,110.0,0,0,Cancelled,19-01-2017,4,Summer,0,1.0,0
Luxury Resort,1,212,2017,July,28,14,3,7,2,2.0,0,HB,SEN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,Not Applicable,0,Regular,256.5,0,0,Cancelled,14-06-2017,10,Summer,1,4.0,1
Luxury Resort,0,67,2017,May,20,17,1,4,2,0.0,0,SB,NLD,Direct,Direct,0,0,0,G,G,2,No Deposit,250.0,Not Applicable,0,Regular,160.0,0,0,Checked-Out,22-05-2017,5,Spring,0,2.0,0
Urban Hotel,0,18,2016,November,49,30,0,2,2,0.0,0,SB,MYS,Online TA,TA/TO,0,0,0,D,B,1,No Deposit,9.0,Not Applicable,0,Regular-Party,154.0,0,0,Checked-Out,02-12-2016,2,Autumn,0,2.0,0
